word,pos,cefr
absorb,verb,B2
abstract,adj,B2
accent,noun,B2
accidentally,adv,B2
accommodate,verb,B2
accommodation,noun,B2
accomplish,verb,B2
accountant,noun,B2
accuracy,noun,B2
accurately,adv,B2
acid,noun,B2
acre,noun,B2
activate,verb,B2
addiction,noun,B2
additionally,adv,B2
adequate,adj,B2
adequately,adv,B2
adjust,verb,B2
affordable,adj,B2
aged,adj,B2
agriculture,noun,B2
AIDS,noun,B2
alien,noun,B2
alongside,prep,B2
altogether,adv,B2
ambitious,adj,B2
ambulance,noun,B2
amusing,adj,B2
analyst,noun,B2
ancestor,noun,B2
animation,noun,B2
annually,adv,B2
anticipate,verb,B2
anxiety,noun,B2
apology,noun,B2
applicant,noun,B2
appropriately,adv,B2
arrow,noun,B2
artwork,noun,B2
asset,noun,B2
assign,verb,B2
assistance,noun,B2
assumption,noun,B2
assure,verb,B2
astonishing,adj,B2
athletic,adj,B2
attachment,noun,B2
audio,adj,B2
awareness,noun,B2
awkward,adj,B2
badge,noun,B2
balanced,adj,B2
ballet,noun,B2
balloon,noun,B2
barely,adv,B2
bargain,noun,B2
basement,noun,B2
basket,noun,B2
bat,noun,B2
beneficial,adj,B2
beside,prep,B2
besides,prep,B2
besides,adv,B2
bias,noun,B2
bid,noun,B2
bid,verb,B2
biological,adj,B2
blanket,noun,B2
blow,noun,B2
bold,adj,B2
bombing,noun,B2
boost,verb,B2
boost,noun,B2
bound,adj,B2
brick,noun,B2
briefly,adv,B2
broadcaster,noun,B2
broadly,adv,B2
buck,noun,B2
bug,noun,B2
cabin,noun,B2
canal,noun,B2
candle,noun,B2
carbon,noun,B2
castle,noun,B2
casual,adj,B2
cave,noun,B2
certainty,noun,B2
certificate,noun,B2
challenging,adj,B2
championship,noun,B2
charming,adj,B2
chase,verb,B2
chase,noun,B2
cheek,noun,B2
cheer,verb,B2
cheer,noun,B2
chop,verb,B2
circuit,noun,B2
civilization,noun,B2
clarify,verb,B2
classify,verb,B2
cliff,noun,B2
clinic,noun,B2
clip,noun,B2
coincidence,noun,B2
collector,noun,B2
colony,noun,B2
colorful,adj,B2
comic,adj,B2
comic,noun,B2
commander,noun,B2
comparative,adj,B2
completion,noun,B2
compose,verb,B2
composer,noun,B2
compound,noun,B2
comprehensive,adj,B2
comprise,verb,B2
compulsory,adj,B2
concrete,adj,B2
concrete,noun,B2
confess,verb,B2
confusion,noun,B2
consequently,adv,B2
conservation,noun,B2
considerable,adj,B2
considerably,adv,B2
consistently,adv,B2
conspiracy,noun,B2
consult,verb,B2
consultant,noun,B2
consumption,noun,B2
controversial,adj,B2
controversy,noun,B2
convenience,noun,B2
convention,noun,B2
conventional,adj,B2
convey,verb,B2
convincing,adj,B2
cop,noun,B2
cope,verb,B2
corporation,noun,B2
corridor,noun,B2
counter,noun,B2
coverage,noun,B2
cowboy,noun,B2
crack,verb,B2
crack,noun,B2
craft,noun,B2
creativity,noun,B2
critically,adv,B2
cruise,noun,B2
cruise,verb,B2
cue,noun,B2
curious,adj,B2
curriculum,noun,B2
cute,adj,B2
dairy,noun,B2
dairy,adj,B2
dare,verb,B2
darkness,noun,B2
database,noun,B2
deadline,noun,B2
deadly,adj,B2
dealer,noun,B2
deck,noun,B2
defender,noun,B2
delete,verb,B2
delighted,adj,B2
